,signature_type,use,greenspace,job_types
E01008220,4,0,0,0.7541938706849491
E01008221,4,0,0,0.7365649037394805
E01008222,4,0,0,0.4619493590566918
E01008223,8,0,0,0.43783876247172787
E01008224,3,0,0,0.45711652388412755
E01008225,3,0,0,0.3117712609592502
E01008226,2,0,0,0.16488892550970422
E01008227,4,0,0,0.7718211382096776
E01008228,9,0,0,0.655125397793964
E01008229,4,0,0,0.7884113010525284
E01008230,4,0,0,0.7756675378890532
E01008231,5,0,0,0.5815407022881667
E01008232,5,0,0,0.5317485428888646
E01008233,4,0,0,0.6228126700488691
E01008234,8,0,0,0.6982568805014501
E01008235,8,0,0,0.6505478045338439
E01008236,7,0,0,0.6233929763754757
E01008237,8,0,0,0.8388173550181588
E01008238,8,0,0,0.6338805221283228
E01008239,8,0,0,0.6254351533555143
E01008240,4,0,0,0.48392911017447854
E01008241,4,0,0,0.6146591179089117
E01008242,6,0,0,0.6956800633474531
E01008243,3,0,0,0.4102985419747873
E01008244,3,0,0,0.33824429109803605
E01008245,4,0,0,0.72840357317574
E01008246,4,0,0,0.33086555580994037
E01008247,4,0,0,0.5598136278494804
E01008248,3,0,0,0.19644696074134732
E01008249,4,0,0,0.48003453899789655
E01008250,4,0,0,0.6335523470695207
E01008251,11,0,0,0.6183894464084031
E01008252,12,0,0,0.6237466881836091
E01008253,11,0,0,0.7147102710796281
E01008254,10,0,0,0.7297651152815955
E01008255,8,0,0,0.578924738656268
E01008256,4,0,0,0.7523494714357546
E01008257,11,0,0,0.4251562930830392
E01008258,11,0,0,0.6207836774194135
E01008259,11,0,0,0.39771371554837326
E01008260,3,0,0,0.4908813861165468
E01008261,3,0,0,0.26728167347497217
E01008262,3,0,0,0.4504756971287159
E01008263,4,0,0,0.6080666083089776
E01008264,3,0,0,0.7639498871614592
E01008265,4,0,0,0.6046585164857389
E01008266,4,0,0,0.6246332913909735
E01008267,4,0,0,0.8517044119413146
E01008268,4,0,0,0.6790807203345507
E01008269,4,0,0,0.5666750542243252
E01008270,5,0,0,0.5005463637446439
E01008271,4,0,0,0.6478571720888212
E01008272,4,0,0,0.5888554850463094
E01008273,2,0,0,0.4654097656562242
E01008274,2,0,0,0.5873468188974362
E01008275,5,0,0,0.8188076843940774
E01008276,2,0,0,0.33237974808804105
E01008277,2,0,0,0.6339372132788669
E01008278,2,0,0,0.45700125295012867
E01008279,5,0,0,0.5028918930213486
E01008280,5,0,0,0.5515499043666311
E01008281,6,0,0,0.6359186314406907
E01008282,5,0,0,0.5781135962641237
E01008283,4,0,0,0.408690712624194
E01008284,4,0,0,0.4518231411098057
E01008285,5,0,0,0.5311585034689903
E01008286,4,0,0,0.451788112243429
E01008287,4,0,0,0.45204459983135875
E01008288,8,0,0,0.7037515670701913
E01008289,8,0,0,0.6794586215401026
E01008290,11,0,0,0.3860718086975942
E01008291,11,0,0,0.5638926546846784
E01008292,7,0,0,0.6420478819984258
E01008293,3,0,0,0.7311178884058023
E01008294,3,0,0,0.6167345461695819
E01008295,3,0,0,0.7623170146351133
E01008296,5,0,0,0.8349980050625071
E01008297,7,0,0,0.7917025483546108
E01008298,8,0,0,0.8110971409537053
E01008299,7,0,0,0.7388101259734406
E01008300,7,0,0,0.7915254514575858
E01008301,11,0,0,0.49223872210539
E01008302,10,0,0,0.5592917242634688
E01008303,10,0,0,0.8270131781499943
E01008304,11,0,0,0.5728010852027307
E01008305,11,0,0,0.6621128518605548
E01008306,2,0,0,0.5709688631298934
E01008307,2,0,0,0.4085005230369117
E01008308,4,0,0,0.30040412404103084
E01008309,8,0,0,0.6172993298321271
E01008311,4,0,0,0.5589165443111825
E01008312,4,0,0,0.5582705910270396
E01008313,4,0,0,0.5579268439475482
E01008314,7,0,0,0.5783564294129104
E01008315,10,0,0,0.8079307349510385
E01008316,7,0,0,0.5962680289257977
E01008317,8,0,0,0.8221271676918122
E01008318,7,0,0,0.5207155165501092
E01008319,4,0,0,0.8988287772803185
E01008320,8,0,0,0.7320059776184584
E01008321,8,0,0,0.9261247879284628
