,signature_type,use,greenspace,job_types
E01032483,3,0,0,0.22651136118786758
E01032484,3,0,0,0.4895338281176995
E01032647,4,0,0,0.6547869477731029
E01032648,4,0,0,0.6466671771670965
E01032649,5,0,0,0.497231547824014
E01032650,8,0,0,0.9281216444864888
E01033074,6,0,0,0.6115025027411154
E01033075,8,0,0,0.6185582995824991
E01033076,4,0,0,0.5685833631229794
E01033077,4,0,0,0.7290787580544604
E01033543,12,0,0,0.694914982506428
E01033545,12,0,0,0.4585644472845875
E01033547,11,0,0,0.6736712334523017
E01033548,11,0,0,0.8778113533598075
E01033550,8,0,0,0.5938035860986316
E01033551,4,0,0,0.5925662316627822
E01033553,12,0,0,0.751045994401801
E01033554,12,0,0,0.5090566400588499
E01033556,12,0,0,0.7515832042721255
